EMG1,EMG2,class,user
-0.0002596904,0.0001297526,2,1
-0.0003071755,0.0001838824,2,1
-0.0003327818,0.0002295848,2,1
-0.0003434782,0.0002600531,2,1
-0.0003454229,0.00027707,2,1
-0.0003463953,0.0002866318,2,1
-0.0003514194,0.0002940868,2,1
-0.0003632501,0.0003030004,2,1
-0.0003786463,0.0003117519,2,1
-0.0003938804,0.0003187208,2,1
-0.0004013355,0.0003218,2,1
-0.0003984183,0.0003214759,2,1
-0.0003809152,0.0003206656,2,1
-0.0003426678,0.0003206656,2,1
-0.000276059,0.0003198552,2,1
-0.0001750923,0.0003177483,2,1
-3.830919e-05,0.0003151553,2,1
0.0001354248,0.0003107795,2,1
0.0003405996,0.0003059176,2,1
0.0005488536,0.0003005694,2,1
0.0007115673,0.0002874421,2,1
0.0007911414,0.0002607014,2,1
0.000777528,0.0002172679,2,1
0.0006802886,0.0001615174,2,1
0.0005230852,9.879808e-05,2,1
0.0003375204,3.60788e-05,2,1
0.0001548727,-1.99958e-05,2,1
-3.951337e-06,-6.829127e-05,2,1
-0.0001276072,-0.0001143178,2,1
-0.0002188499,-0.0001635857,2,1
-0.0002833519,-0.0002147983,2,1
-0.000328244,-0.0002598524,2,1
-0.0003642225,-0.0002929138,2,1
-0.0004014975,-0.0003139823,2,1
-0.0004413656,-0.0003241924,2,1
-0.0004739407,-0.0003266234,2,1
-0.0004859335,-0.0003219235,2,1
-0.0004681064,-0.0003128478,2,1
-0.0004202971,-0.0003029619,2,1
-0.0003486642,-0.000293562,2,1
-0.000278652,-0.0002804347,2,1
-0.0002357047,-0.0002616352,2,1
-0.0002277635,-0.0002397564,2,1
-0.0002433218,-0.0002180396,2,1
-0.000261311,-0.0001998883,2,1
-0.0002609869,-0.000184168,2,1
-0.0002334358,-0.0001713648,2,1
-0.0001851404,-0.0001618029,2,1
-0.0001357104,-0.0001533756,2,1
-0.0001071869,-0.0001455964,2,1
-0.0001084835,-0.0001365208,2,1
-0.0001339277,-0.0001256624,2,1
-0.0001679614,-0.0001156143,2,1
-0.0001938919,-0.0001141558,2,1
-0.0001964849,-0.0001224211,2,1
-0.0001665028,-0.0001349001,2,1
